Event name,Image,Date,Time,Place,Price,Attendees,Tags,Views count
Вебінар «Як стати верстальником сайтів за 3 місяці» (подія в архіві),https://s.dou.ua/CACHE/images/img/events/webinar-covers-3ee601a0-4239-413b-84bc-4495feec218f/9d984609a2083a97329ac88c0c1b6d9a.png,5 жовтня 2023 (четвер),19:00,онлайн,безкоштовно,"https://dou.ua/users/ua-22-korolova-maryana/, https://dou.ua/users/nikita-voronyuk/","junior, вебінар, кар’єра, технології",165
"Лекція «Апґрейд бізнес-аналітика: які навички потрібні, щоб дорости до Senior-a?» (подія в архіві)",https://s.dou.ua/CACHE/images/img/events/%D0%9E%D0%B1%D0%BB%D0%BE%D0%B6%D0%BA%D0%B0_%D0%B2%D0%B5%D0%B1%D0%B8%D0%BD%D0%B0%D1%80%D0%B0_%D0%9D%D0%9E%D0%92%D0%90%D0%AF_8_9venEvY/1b92566667e9692fd6af79c30abb2051.png,5 жовтня 2023 (четвер),19:00,Online,Безкоштовно,"https://dou.ua/users/aleksandr-krasnov/, https://dou.ua/users/andriy-harashchenko/, https://dou.ua/users/lena-pushkar/, https://dou.ua/users/vladimir-podoprigora/, https://dou.ua/users/andrii-katanaha/","BA, вебінар, кар’єра",149
Вебінар для фахівців з кібербезпеки «Особиста безпека: захист приватних пристроїв» (подія в архіві),https://s.dou.ua/CACHE/images/img/events/%D0%B2%D0%B5%D0%B5%D0%B1%D1%96%D0%BD%D0%B0%D1%80_4/2caba792a6e2d91e1b4e6f61a6a1d62f.png,5 жовтня 2023 (четвер),10:00,online,безкоштовно,https://dou.ua/users/oleksandr-tymoshenko-2/,"безпека, вебінар, технології",139
Курс «Автоматизація тестування за допомогою Selenium WebDriver (Python)» від QALight (подія в архіві),https://s.dou.ua/CACHE/images/img/events/001_tXLnVvp/b7dfd5ffd8dce4d3f193c5770a907853.png,5 жовтня 2023 (четвер),,онлайн,12 800 грн,,"junior, Python, QA, кар’єра, курси, тестування, технології",138
Вебінар «Як розпочати та продовжувати кар’єру в IT» (подія в архіві),https://s.dou.ua/CACHE/images/img/events/Screenshot_4_J0MxkMo/e7e03624cc6a546aad564ac82af41b85.png,5 жовтня 2023 (четвер),16:00,online,безкоштовно,"https://dou.ua/users/aleksej-kozhemyako/, https://dou.ua/users/kseniia-kokhan/","junior, вебінар, кар’єра, технології",120
SKILup Session: SRE — Chaos Engineering (подія в архіві),https://s.dou.ua/CACHE/images/img/events/2023_nQxuC2Q/26775c8cf8fa63d04ee6f4ebb18216a5.png,05 October 2023 (Thursday),18:00,Online,free,,"DevOps, кар’єра, мітап, технології",24
Офлайн DOU Marketing Meetup. Київ — реєстрація закрита 🤲 (подія в архіві),https://s.dou.ua/CACHE/images/img/events/event_dou_marketing_1/954400105100f635c0d4a5e1f6dcc792.png,10 жовтня 2023 (вівторок),18:00 — 21:30,"Київ, UNIT.City",донат на ЗСУ — від 500 грн,"https://dou.ua/users/mariya-dzvinka/, https://dou.ua/users/invisible-horizons/, https://dou.ua/users/iryna-franchuk-2/, https://dou.ua/users/vladyslav-tanasov/, https://dou.ua/users/anastasia-radionova-1/, https://dou.ua/users/lena-baranova-1/, https://dou.ua/users/vladyslav-tkachuk/, https://dou.ua/users/kristina-malysheva/, https://dou.ua/users/kateryna-gordienko/, https://dou.ua/users/nastya-budkina/, https://dou.ua/users/nadezhda-grushko/, https://dou.ua/users/aleksandr-matvieiev/, https://dou.ua/users/chajka-darya/, https://dou.ua/users/katerina-kresalo/, https://dou.ua/users/oleh-piddubnyi/, https://dou.ua/users/yan-m/, https://dou.ua/users/nadiia-chumak/, https://dou.ua/users/anton-tarashkevych/, https://dou.ua/users/khrystyna-maksymets/, https://dou.ua/users/ekaterina-milskaya-1/, https://dou.ua/users/anton-kovalenko-16/, https://dou.ua/users/bogdan-bogdanov-2/, https://dou.ua/users/svetlana-chaika/, https://dou.ua/users/yuliia-storcheva-1/, https://dou.ua/users/kateryna-krupnyk/, https://dou.ua/users/svitlana-andryeyeva/, https://dou.ua/users/alexandr-korolenko/, https://dou.ua/users/svitfen/, https://dou.ua/users/lankin-nikita/, https://dou.ua/users/liliya-fatalchuk/, https://dou.ua/users/igor-kovalchuk-13/, https://dou.ua/users/evgenij-linenko/, https://dou.ua/users/yevhenii-teslia/, https://dou.ua/users/s-stasevich/, https://dou.ua/users/bogdan-bitkov-4/, https://dou.ua/users/uliana-marchuk/, https://dou.ua/users/yulichka-chehova/, https://dou.ua/users/andrii-horban-1/, https://dou.ua/users/andrian-sytar/, https://dou.ua/users/dmitry-mk/, https://dou.ua/users/anastasiia-kozachuk-2/, https://dou.ua/users/olga-litvinenko-3/, https://dou.ua/users/natalie-dunar/, https://dou.ua/users/marianna-lendel/, https://dou.ua/users/anastasiia-panchenko-5/, https://dou.ua/users/natalya-konenko/, https://dou.ua/users/elina-chumak/, https://dou.ua/users/irina-nesterenko/, https://dou.ua/users/anna-bohach/, https://dou.ua/users/andriy-studynskyi/, https://dou.ua/users/anatoliy-tolstoukhov/, https://dou.ua/users/christina-ouk/, https://dou.ua/users/margaryta-kharycheva-1/","DOU events, благодійність, війна, кар’єра, мітап, маркетинг, технології",4523
Курс “Frontend for beginners” (подія в архіві),https://s.dou.ua/CACHE/images/img/events/Frontend_for_beginners/9dbb474b5c708a4baaf729ef4be0726b.png,10 жовтня 2023 (вівторок),,онлайн,мінімальний розмір донату від 300 грн,"https://dou.ua/users/maksymsokolik/, https://dou.ua/users/andrii-khodorovskyi/, https://dou.ua/users/gavrilov2610/","Front-end, JavaScript, junior, кар’єра, курси, технології",552
Онлайн-курс “QA Automation — Python” від Hillel IT School (подія в архіві),https://s.dou.ua/CACHE/images/img/events/qa-automation-python-telegram/b94e8ad7e6e1a4fa7ee12e742fbda0e0.png,10 жовтня 2023 (вівторок),,Online,15000 грн,,"Python, QA, кар’єра, курси, тестування, технології",472
Онлайн-курс “Software Architect” від robot_dreams (подія в архіві),https://s.dou.ua/CACHE/images/img/events/%D0%B4%D0%BE%D1%83_1.2-1/b97af059489d2a6e0bc939d654d2cc26.png,10 жовтня — 7 грудня 2023,,онлайн,від 8 818 грн/міс,,"Solution Architecture, кар’єра, курси",410
Online Conference for Swift Developers: iOS&MacOS Development Summit’23 (подія в архіві),https://s.dou.ua/CACHE/images/img/events/vGVkAAZ/72bb7d2095027f1fdcb659af306a6e10.png,10 — 11 October 2023,,Online,$0-$299,"https://dou.ua/users/pavlo-bilohaienko/, https://dou.ua/users/ivan-yashchenko/, https://dou.ua/users/demenkoeugene/, https://dou.ua/users/polina-pogrebnaya-1/","Android, iOS, mobile, кар’єра, конференція, технології",377
Ефір «Тестування та React» (подія в архіві),https://s.dou.ua/CACHE/images/img/events/Screenshot_5_v8dQsRY/df99814050870905740d90332d843539.png,10 жовтня 2023 (вівторок),19:00,онлайн,безкоштовно,"https://dou.ua/users/anastasiia-tsyvina/, https://dou.ua/users/viktoriya-filipchenko/, https://dou.ua/users/ekaterina-zamyatina/, https://dou.ua/users/katy-traveller/, https://dou.ua/users/exstornado/, https://dou.ua/users/anna-kugir/, https://dou.ua/users/vitalij-novitskij/, https://dou.ua/users/roman-savitskij/, https://dou.ua/users/valerii-shelepov/","вебінар, кар’єра, тестування, технології",309
